backers_count,blurb,country,country_displayable_name,created_at,currency,currency_symbol,currency_trailing_code,current_currency,deadline,disable_communication,friends,fx_rate,goal,id,is_backing,is_starrable,is_starred,launched_at,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,blurb_len,is_successful,is_failed,is_live,create_year,create_month,create_day,launch_year,launch_month,launch_day,deadline_year,deadline_month,deadline_day,state_change_year,state_change_month,state_change_day,backing_days,is_spotlight,is_staff_pick
0,"FLIPIC MAGAZINE - A submission based magazine that caters to hard working Models, Photographers, Hair & Makeup,  & Clothing Designers +",US,the United States,2012-09-21 03:20:53,USD,$,True,USD,2013-06-09 19:23:10,False,,1.0,22928.0,669244616,,False,,2013-05-20 19:23:10,periodicals,0.0,publishing,False,False,failed,2013-06-09 19:23:13,1.0,0.0,domestic,22,0,1,0,2012,9,21,2013,5,20,2013,6,9,2013,6,9,20,0,0
4523,A Grim Dark fantasy setting for 5e Tabletop Role Playing.,AU,Australia,2019-07-14 00:00:31,AUD,$,True,USD,2019-09-07 06:59:00,False,,0.67841455,43000.0,538228408,,False,,2019-08-05 12:00:10,tabletop games,284145.26,games,True,False,successful,2019-09-07 06:59:02,0.68019992,193275.5831,domestic,10,1,0,0,2019,7,14,2019,8,5,2019,9,7,2019,9,7,32,1,0
564,"Tea Journey helps consumers make informed tea selections, properly prepare fine tea and better appreciate the artisans who craft it.",CA,Canada,2015-12-28 03:58:25,CAD,$,True,USD,2016-06-02 04:02:06,False,,0.75734913,125000.0,200576885,,False,,2016-04-03 04:02:06,periodicals,128107.0,publishing,True,True,successful,2016-06-02 04:02:06,0.76906808,98523.00452,domestic,20,1,0,0,2015,12,28,2016,4,3,2016,6,2,2016,6,2,60,1,1
2,"Original Records is an Independent Record Label and Artist Management/Development Company based in Harlem, New York.",US,the United States,2015-03-14 21:35:03,USD,$,True,USD,2015-04-15 18:40:34,False,,1.0,2500.0,542998331,,False,,2015-03-16 18:40:34,hip-hop,26.0,music,False,False,failed,2015-04-15 18:40:35,1.0,26.0,domestic,16,0,1,0,2015,3,14,2015,3,16,2015,4,15,2015,4,15,30,0,0
1,"I am creating a webisode called ""Unfolding Darkness-The Game"". It is an adventure drama that takes place in a near distant future.",US,the United States,2018-07-08 23:58:13,USD,$,True,USD,2018-07-24 16:48:47,False,,1.0,400.0,1135823574,,False,,2018-07-09 16:48:47,video art,1.0,art,False,False,failed,2018-07-24 16:48:49,1.0,1.0,domestic,22,0,1,0,2018,7,8,2018,7,9,2018,7,24,2018,7,24,15,0,0
9,The Illustrated book of The ABZs of Fiendish Activities is scheduled to be released Friday October 13th of 2017.,US,the United States,2017-08-26 00:13:13,USD,$,True,USD,2017-10-13 04:00:00,False,,1.0,500.0,1963967009,,False,,2017-09-19 00:21:22,children's books,508.0,publishing,True,False,successful,2017-10-13 04:00:01,1.0,508.0,domestic,19,1,0,0,2017,8,26,2017,9,19,2017,10,13,2017,10,13,24,1,0
63,"Our tour van died, we need help!",US,the United States,2015-06-16 03:40:18,USD,$,True,USD,2015-07-02 03:40:00,False,,1.0,3000.0,1618507338,,False,,2015-06-18 17:54:44,indie rock,3971.0,music,True,False,successful,2015-07-02 03:40:03,1.0,3971.0,international,7,1,0,0,2015,6,16,2015,6,18,2015,7,2,2015,7,2,13,1,0
508,Sterilization by UVC & Ultrasonic | Killing Bacteria & Mites | Auto Cleaning Bed | Playing Music | Wireless Charge | Travel Robot,US,the United States,2019-08-28 06:50:13,USD,$,True,USD,2019-10-19 06:59:00,False,,1.0,5000.0,841200604,,True,,2019-09-16 13:53:12,gadgets,78875.0,technology,False,False,live,2019-09-16 13:53:14,1.0,78875.0,domestic,23,0,0,1,2019,8,28,2019,9,16,2019,10,19,2019,9,16,32,0,0
19,"1. The Fix     |     2. Right Place, Wrong Time     |     3. Fallacy     |     4. Grandma's House",US,the United States,2019-01-26 01:42:11,USD,$,True,USD,2019-03-06 04:59:00,False,,1.0,500.0,1487674015,,False,,2019-02-03 22:14:48,rock,704.0,music,True,False,successful,2019-03-06 04:59:00,1.0,704.0,international,40,1,0,0,2019,1,26,2019,2,3,2019,3,6,2019,3,6,30,1,0
59,"A fictional television show about a young woman who is, in simple terms, a fertility specialist to cows. (Yes, it's a real thing.)",US,the United States,2019-08-05 11:01:43,USD,$,True,USD,2019-09-19 01:11:00,False,,1.0,30000.0,269579641,,False,,2019-08-06 12:16:39,television,30527.0,film & video,True,False,successful,2019-09-19 01:11:00,1.0,30527.0,domestic,23,1,0,0,2019,8,5,2019,8,6,2019,9,19,2019,9,19,43,1,0
